Channel 1 0.00, 0.48: Right  
Channel 2 209.43, 213.01: oh I sent you a letter and I told you I bought two German music boxes.  
Channel 1 212.90, 215.54: Well good good for you because I wanted {breath}  
Channel 2 214.61, 215.29: {lipsmack} That's all.  
Channel 1 215.61, 217.66: I wanted you to get something German.  
Channel 2 217.37, 218.89: German and I did.  
Channel 1 218.25, 218.67: Because  
Channel 1 218.99, 221.02: yeah because you won't be going back  
Channel 2 221.22, 221.78: Right.  
Channel 1 221.68, 222.96: You know hopefully [[says laughing]] {laugh}  
Channel 2 222.55, 223.22: I know.  
Channel 1 223.06, 224.33: {breath} And %uh [[says laughing]]  
Channel 1 224.70, 226.96: Dad and I we fired our other attorney.  
Channel 2 227.26, 228.33: You're kidding.  
Channel 1 228.15, 231.38: No we got us a new one.  We got &Kindrick of &Kindrick and &Owens.  
Channel 2 231.44, 231.89: uh-huh.  
Channel 1 232.07, 233.47: And this guy is sharp.  
Channel 2 233.73, 234.31: Really?  
Channel 1 234.11, 235.57: He's good. He's good.  
Channel 1 236.04, 237.76: He I think he's really going to fight for us.  
Channel 2 238.31, 238.91: Really?  
Channel 1 238.92, 239.32: uh-huh.  
Channel 2 239.82, 240.13: oh.  
Channel 1 240.10, 240.83: And %uh  
Channel 1 241.26, 243.17: I guess &Stephie told you about &Doodle.  
Channel 2 243.57, 245.16: yeah, she's six weeks pregnant.  
Channel 1 245.19, 245.53: yeah.  
Channel 2 245.89, 246.23: yeah.  
Channel 1 246.48, 247.37: Unfortunately.  
Channel 2 246.77, 247.24: She told me.   
Channel 1 247.66, 248.77: With dickhead's baby  
Channel 2 249.04, 250.72: Really? You're not happy?  
Channel 1 251.07, 251.55: No.  
Channel 2 251.80, 254.10: oh {laugh} okay just checking {laugh} [[speaks while laughing]]  
Channel 1 253.75, 256.95: yeah %eh no if it if it had been anyone but &Nick  
Channel 2 256.70, 257.24: &Nick.  
Channel 1 258.02, 258.44: You know.  
Channel 2 258.71, 259.40: I figured.  
Channel 1 259.52, 260.05: %uh but  
Channel 2 259.84, 266.45: Well she called me collect that night and I was like what the heck is she calling me for a- and I was afraid that one of you all was in the hospital.   
Channel 1 266.45, 267.69: uh-huh. No, honey.  
Channel 2 267.18, 273.14: But I thought {breath} no ma would call me she wouldn't leave it to &Doodles to call and that's why I didn- I didn't accept it.  
Channel 1 270.87, 271.64: That's right.  
Channel 1 273.22, 278.73: Right and that's good I'm glad you didn't because if anything ever bad happens dad or I (( )) will get a hold of you.  
Channel 2 277.37, 278.37: You will call.  
Channel 2 278.97, 280.38: (( )) oh well that's what I figured.  
Channel 1 279.28, 280.72: You don't have to worry about &Doodles.  
Channel 2 281.09, 284.49: Well that's what I figured you know I figured she was just calling to say what are you doing?  
Channel 1 284.25, 285.27: uh-huh she was.  
Channel 2 285.47, 286.23: And so  
Channel 1 285.75, 287.23: And to tell you she was pregnant but  
Channel 1 287.71, 288.14: %uh  
Channel 1 288.46, 291.68: Daddy's hoping and praying that it's not &Nick's.  He's hoping it's &Kevin's.  
Channel 1 291.75, 293.75: {laugh}  
Channel 2 292.21, 292.95: Really  
Channel 1 293.86, 294.41: So.  
Channel 2 294.85, 296.59: So so what is she doing?  
Channel 1 294.97, 295.39: You know.  
Channel 2 297.12, 299.88: Or I thought that I thought they wasn't having sex?  
Channel 1 297.18, 297.99: She's working  
Channel 1 300.27, 303.16: {laugh} that's what I thought {laugh}  
Channel 2 302.72, 307.60: She can't tell me well well we're not having sex in the three months that he's been here we've only had sex twice.  
Channel 1 307.58, 309.06: yeah yeah well.  
Channel 2 308.75, 310.03: And I said oh well.  
Channel 1 309.85, 310.96: She's just a little liar.  
Channel 2 311.25, 311.94: And so  
Channel 2 312.32, 313.34: Isn't that weird?  
Channel 1 313.35, 313.88: yeah.  
Channel 2 313.99, 315.90: I was talking to my friend &Heather and I said {breath}  
Channel 1 315.80, 316.78: A miracle birth.  
Channel 2 317.01, 318.78: I told I told %uh  
Channel 2 319.66, 324.94: to &Heather sh- I was telling her that you know &Stephanie had talked to me and said you know that {breath} that %um  
Channel 2 325.18, 329.12: She was talking to you and that you hoped that I was pregnant and I was going to have a girl because  
Channel 1 328.74, 329.29: uh-huh.  
Channel 2 329.40, 335.75: Then we said would mom that looks like it's going to be your last hope and &Heather said well you got a little sister she'll get it b- you know pregnant I said {breath}    
Channel 2 335.83, 338.48: &Leslie is not the type to have a baby trust me  
Channel 1 337.74, 338.26: Right  
Channel 1 338.62, 338.94: Right.  
Channel 2 338.78, 344.10: And I sat there and I kept telling her over she said she's going to have a baby I said no she's not I said you don't know &Doodles.  
Channel 1 344.02, 344.56: Right.  
Channel 2 344.73, 349.26: And then all of a sudden &Stephanie calls and says she's pregnant I'm like (( )) doggone it {laugh}  
Channel 1 349.03, 349.57: yeah.  
Channel 2 349.91, 351.25: Out of all the people.  
Channel 1 350.27, 350.66: Well.  
Channel 1 351.25, 357.23: I know if it'd been anyone else but &Nick you know I mean Dad and I has accepted it. We can't change it.  
Channel 2 357.27, 357.91: Right.  
Channel 1 357.91, 359.29: You know but u- [[stutters]] %uh  
Channel 1 359.92, 363.26: i- it's not (( )) we told her that &Nicky is not welcome.  
Channel 2 363.62, 364.32: Really?  
Channel 1 363.74, 364.25: Around.  
Channel 1 364.47, 365.84: Right. He is not welcome.  
Channel 2 366.24, 366.76: yeah?  
Channel 1 366.64, 367.17: You know.  
Channel 1 367.36, 370.24: Her and the baby is welcome but &Nick is not.  
Channel 2 370.66, 372.36: (( )) What is she going to do?  
Channel 1 373.71, 380.20: I don't know &Stacey I mean she has given your dad and I so, so much of a headache it's not even real.  
Channel 1 380.58, 382.59: You you just couldn't believe half of it.  
Channel 2 382.22, 384.97: She changes jobs every two weeks.  
Channel 1 384.88, 388.25: I know. She's working for a cardiology place now and  
Channel 1 388.80, 394.55: And I told her I said you won't be there long I said you'll get fired or something if you call in sick like you did at the other place.  
Channel 2 394.74, 395.26: Right.  
Channel 1 395.48, 396.11: You know and  
Channel 1 396.44, 399.25: The last job she had she never even went back to  
Channel 2 399.43, 400.46: I know she told me.  
Channel 1 400.53, 401.60: {clears throat} you know  
Channel 1 402.12, 402.54: %uh 
Channel 1 403.49, 406.99: I don't know about her. She doesn't have any long distance on her phone. She can't call.  
Channel 2 407.43, 407.84: Right.  
Channel 1 407.90, 408.92: You know %uh  
Channel 1 409.39, 412.33: So that all that's all blocked and taken care of thank God 
Channel 2 412.46, 413.11: Right.  
Channel 1 413.15, 416.83: %uh I was off today. I was off the last two days.  
Channel 1 417.44, 422.04: And I was waiting on my, my pin letter to come in and then &Stephie I have  
Channel 1 422.68, 425.16: I Hoped to talk to you before you went into surgery  
Channel 2 425.27, 425.63: uh-huh.  
Channel 1 425.68, 429.11: And &Steph told me she says well &Stacey went in yesterday for surgery  
Channel 2 429.49, 429.93: yeah.  
Channel 1 430.00, 431.80: yeah I mean you know she told me that, that  
Channel 1 432.01, 434.53: You done had it done by the time I talked to Steph.  
Channel 2 433.19, 433.82: oh no.  
Channel 2 434.72, 435.12: No.  
Channel 1 435.41, 436.21: And %uh.  
Channel 1 436.92, 442.05: So I was waiting till today and then I was going to call you by in the morning if they hadn't of came in today.  
Channel 2 442.18, 445.46: But that's good though I mean at least this you way you know what happened and  
Channel 1 445.31, 445.86: yeah.  
Channel 2 445.56, 448.18: You know if you would've called before the surgery you wouldn't have known.  
Channel 1 448.20, 449.82: Right, well that's true.  
Channel 2 450.07, 450.65: You knows.  
Channel 1 450.10, 453.41: I was just hoping you was home and what is it about twenty to eleven there?  
Channel 2 453.66, 455.31: It's %uh eleven o'clock.  
Channel 1 455.42, 456.01: Eleven?  
Channel 2 455.93, 459.13: Well I mean &Toon sets his clock fast so it's like ten till.  
Channel 1 458.19, 458.68: {lipsmack} Right.  
Channel 1 459.16, 461.31: Right well see it's twenty till four here.  
Channel 2 460.44, 460.54: {lipsmack}  
Channel 2 461.51, 462.10: okay.  
Channel 1 462.28, 463.45: And %uh {breath}  
Channel 1 463.95, 464.41: Daddy  
Channel 2 463.78, 472.60: I was going to come home on the fifteenth.  &Toon and I talked about it and I said I'm going home on the fifteen and I had wrapped all of you all's gifts because I've got stuff that I was bringing back home to you all.   
Channel 1 472.24, 472.94: uh-huh.  
Channel 2 472.65, 476.41: {breath} I wrapped it all and and &Toon said you're going home I said yeah {breath}   
Channel 2 476.45, 481.77: And then I talked to my (( )) form came in saying that I could have my surgery. It was approved.   
Channel 1 481.65, 482.22: Right.  
Channel 2 482.47, 492.62: And %uh I called Doctor &Gonte I said Doctor &Gonte it came in when do you want to do it and he wanted to do it right after I just got my period so I just got my period November the eighth and I   
Channel 1 492.34, 492.94: uh-huh.  
Channel 2 492.75, 495.51: thought just just %eh two days ago.  
Channel 1 495.48, 496.15: Right.  
Channel 2 496.08, 498.51: And he was like we're doing it on Friday I was like %eh  
Channel 2 498.64, 500.74: Doggone it I can't go home then {laugh}  
Channel 1 499.61, 501.37: {laugh}  
Channel 2 501.17, 503.17: But I mean that's better anyway because  
Channel 1 502.97, 503.45: yeah.  
Channel 2 503.55, 508.26: You know Christmas I can go ahead and spend here and then January &Toon is taking leave and we're going to fly home.  
Channel 1 508.19, 509.41: Well good you'll all  
Channel 2 508.99, 509.62: Even if  
Channel 1 509.97, 513.30: You'll all be together and it won't be such a long little flight for you that way  
Channel 2 513.14, 514.42: (( )) Right and even if  
Channel 1 513.95, 515.25: You'll have help with &Darrin.  
Channel 2 515.40, 519.24: Right and even if &Toon doesn't get leave I'm still coming home and he said that's fine     
Channel 1 519.26, 520.59: okay well good.  
Channel 2 520.26, 522.62: So, I've already planned it.  
Channel 1 522.49, 523.07: yeah.  
Channel 2 523.17, 529.54: But the budget still hasn't passed and (( )) they said that if it doesn't pass by December first we won't be getting paid so  
Channel 1 530.66, 532.17: You won't be getting paid for what?  
Channel 2 532.34, 535.33: (( )) for &Toon's job because he's the federal government  
Channel 1 535.63, 536.06: yeah.  
Channel 2 536.71, 542.05: But see they had paid us on the fifteenth because our paychecks at first everyone said we wasn't going to get paid.  
Channel 1 541.97, 544.13: Well by God they better take care of the army boys.  
Channel 2 544.22, 552.14: But then they said that it'd already been ((aligned)) so they paid us on the fifteenth and now they're saying if it doesn't pass in two weeks that we're not going to get paid.  
Channel 1 552.42, 552.77: oh.  
Channel 2 553.24, 557.30: So it's going to bite because it's going to be right at Christmas and so it's going to really bite.  
Channel 1 557.31, 557.99: Right.  
Channel 2 558.29, 561.80: You know so hopefully they you know d- find out something to do  
Channel 1 561.90, 565.27: Well I hope so I tell you &Clinton sure got it in a mess.  
Channel 2 565.52, 566.81: So are you all okay?  
Channel 1 567.01, 571.59: oh yeah we're doing fine.  Daddy has been down in his back bless his heart and  
Channel 2 571.37, 572.12: %eh {laugh}  
Channel 1 572.34, 573.15: And %uh.  
Channel 2 573.25, 574.45: So you've been working.  
Channel 1 574.55, 579.49: I been working %uh my right arm is still giving me fits on the bottom side  
Channel 2 579.67, 579.96: uh-huh.  
Channel 1 580.16, 586.98: And I had went back to &Livingston he was he set me up to do the surgery and they got a hold of worker's comp and they would not approve it.  
Channel 2 587.48, 588.14: Really?  
Channel 1 588.11, 589.34: yeah %uh  
Channel 1 589.59, 592.70: They said being as I had already went to my attorney's doctor  
Channel 1 592.92, 593.90: And got a rating  
Channel 2 592.95, 593.30: uh-huh  
Channel 1 594.45, 595.91: that they would not approve it.  
Channel 2 596.25, 596.56: uh-huh 
Channel 1 596.28, 598.28: So I switched attorneys  
Channel 1 598.94, 599.79: and  
